Pop1	Pop2	D	Z	D.X	Z.X	D.lowB	Z.lowB	D.highB	Z.highB
Khoesan	Oceania	-0.35	-8.2	-0.7	-2.7	-0.68	-6.4	-0.14	-1.7
Africa	America	-0.33	-9.4	-0.73	-2.8	-0.65	-7.3	-0.18	-2.6
Khoesan	WestEurasia	-0.3	-7.5	-0.68	-3.1	-0.63	-6.3	-0.17	-2.1
Africa	Oceania	-0.29	-8.5	-0.66	-3.2	-0.55	-6.6	-0.07	-1
Africa	WestEurasia	-0.25	-8.5	-0.66	-3.1	-0.49	-6.4	-0.11	-1.8
Khoesan	SouthAsia	-0.24	-6	-0.56	-2.7	-0.61	-6.3	-0.11	-1.4
Africa	EastAsia	-0.2	-6.6	-0.65	-2.5	-0.42	-5.2	-0.1	-1.5
Africa	CentralAsiaSiberia	-0.2	-6.2	-0.55	-2.2	-0.48	-6.3	-0.05	-0.7
Pygmy	WestEurasia	-0.19	-4.8	-0.46	-1.4	-0.43	-4.6	-0.04	-0.5
Africa	SouthAsia	-0.18	-6.4	-0.5	-2	-0.46	-6.3	-0.03	-0.5
CentralAsiaSiberia	Oceania	-0.13	-3.9	-0.15	-0.6	-0.09	-1.1	-0.03	-0.4
Pygmy	SouthAsia	-0.13	-3.3	-0.38	-1.1	-0.38	-4.2	0.02	0.2
EastAsia	Oceania	-0.13	-4.1	0	0	-0.17	-2.1	0.04	0.6
Khoesan	Pygmy	-0.1	-2.6	-0.14	-0.4	-0.16	-1.6	-0.12	-1.5
SouthAsia	WestEurasia	-0.08	-4.3	-0.2	-1.2	-0.05	-1	-0.1	-2.7
CentralAsiaSiberia	WestEurasia	-0.06	-2.2	-0.16	-0.8	-0.01	-0.2	-0.09	-1.6
EastAsia	WestEurasia	-0.06	-2.1	0	0	-0.08	-1	-0.02	-0.3
CentralAsiaSiberia	EastAsia	0	-0.2	-0.18	-1.1	0.07	1.2	-0.08	-1.8
Africa	Pygmy	0	-0.1	-0.06	-0.2	0.03	0.4	-0.06	-0.8
EastAsia	SouthAsia	0.02	0.7	0.22	1.7	-0.04	-0.7	0.08	1.7
CentralAsiaSiberia	SouthAsia	0.02	0.7	0.05	0.3	0.02	0.4	0	0
America	Oceania	0.03	0.9	0.11	0.4	0.1	1.1	0.13	1.7
Oceania	WestEurasia	0.08	2.3	-0.03	-0.1	0.1	1.1	-0.04	-0.6
Africa	Khoesan	0.1	2.9	0.17	0.7	0.23	2.6	0.07	1
America	WestEurasia	0.11	3.6	0.11	0.4	0.19	2.2	0.08	1.3
CentralAsiaSiberia	Pygmy	0.14	3.4	0.32	0.9	0.43	4.5	-0.04	-0.4
Oceania	SouthAsia	0.14	4.8	0.22	0.9	0.13	1.7	0.04	0.7
EastAsia	Pygmy	0.15	3.6	0.49	1.4	0.37	3.9	0.04	0.5
America	EastAsia	0.18	5.9	0.09	0.3	0.28	3.6	0.11	1.8
America	CentralAsiaSiberia	0.18	6.2	0.34	1.7	0.23	2.9	0.18	3.1
America	SouthAsia	0.18	6.4	0.34	1.5	0.22	3	0.18	3.1
Oceania	Pygmy	0.24	5.4	0.46	1.3	0.45	4.6	0.02	0.2
CentralAsiaSiberia	Khoesan	0.25	6	0.57	2.9	0.64	6.3	0.09	1.1
EastAsia	Khoesan	0.25	6.2	0.68	3.2	0.59	5.9	0.14	1.7
America	Pygmy	0.26	5.9	0.58	1.6	0.58	5.7	0.09	1
America	Khoesan	0.37	8.7	0.76	3.3	0.77	7.3	0.22	2.5
